"Poll options for What’s everyone’s level of confidence/familiarity with ggplot2?,Number of votes"
"I know the grammar of graphics like the back of my hands,2"
"""I can make it work, but sometimes it still baffles me"",5"
"It's a constant battle to get it to do what I want,0"
"ggplo-who?,1"
"I hate it.,0"
